JOB_APPLICATION_ID,Time to Hire Days,Time to Hire Hours,CLIENT_NAME,CLIENT_REGION
2,,,internal,SYD
1,,,covermore,SYD
12551,1,6,dickerdata,SYD
10,,,payrollapi,SYD
3,,,bankaust,SYD
10884,1,25,stabilisedpavements,SYD
10,,,elmosandpit2,SYD
1387,,,msssecurity,SYD
2732,,,msssecurity,SYD
2,,,payrollsandpit,SYD
2,,,internalsalesnz,SYD
3004,,,msssecurity,SYD
2,,,tuh,SYD
4371,,,msssecurity,SYD
9,,,covermore,SYD
2,,,csm,SYD
10201,1,42,brownfwg,SYD
2,,,elmosandpit3,SYD
221546,0,0,catercare,SYD
101,,,mla,SYD
2,,,elmosandpit2,SYD
2,,,csm2,SYD
9042,1,46,lskd,SYD
10,,,am,SYD
3427,,,msssecurity,SYD
